gene	sym	Variance
ENSG00000000003	TSPAN6	0.00461948889547235
ENSG00000000419	DPM1	0.203839664099002
ENSG00000000457	SCYL3	0.0534997920841654
ENSG00000000460	C1orf112	0.00932640029204185
ENSG00000000938	FGR	0.515352018170718
ENSG00000000971	CFH	0.013304354533351
ENSG00000001036	FUCA2	0.0543825693729367
ENSG00000001084	GCLC	0.043698192075262
ENSG00000001167	NFYA	0.0413567195351692
ENSG00000001460	STPG1	0.0159966072409099
ENSG00000001461	NIPAL3	0.15576576978813
ENSG00000001497	LAS1L	0.0775479622524616
ENSG00000001561	ENPP4	0.0334129806556304
ENSG00000001629	ANKIB1	0.063396543381542
ENSG00000001630	CYP51A1	0.0028385726561198
ENSG00000001631	KRIT1	0.0952770151091296
ENSG00000002016	RAD52	0.0148551770883909
ENSG00000002330	BAD	0.160973721394706
ENSG00000002549	LAP3	0.15363310876242
ENSG00000002586	CD99	0.921867619130179
ENSG00000002587	HS3ST1	0.0226709775136915
ENSG00000002726	AOC1	9.60272583291207e-05
ENSG00000002745	WNT16	0.00268566263486943
ENSG00000002822	MAD1L1	0.37818173896459
ENSG00000002834	LASP1	0.32304204938503
ENSG00000002919	SNX11	0.0620341587111045
ENSG00000002933	TMEM176A	0.0754502405456142
ENSG00000003056	M6PR	0.418809413626567
ENSG00000003096	KLHL13	0.00188769658628374
ENSG00000003147	ICA1	0.0198646230860162
ENSG00000003249	DBNDD1	0.0127954521732244
ENSG00000003393	ALS2	0.0106056013718779
ENSG00000003400	CASP10	0.0643019606919114
ENSG00000003402	CFLAR	0.497121810836347
ENSG00000003436	TFPI	0.000928631266806438
ENSG00000003509	NDUFAF7	0.0523337897043044
ENSG00000003756	RBM5	0.240691853759538
ENSG00000004059	ARF5	0.465840424528098
ENSG00000004139	SARM1	0.0251360981900853
ENSG00000004142	POLDIP2	0.163640166494351
ENSG00000004399	PLXND1	0.0530770101519223
ENSG00000004455	AK2	0.182267674658939
ENSG00000004468	CD38	0.0849253738530283
ENSG00000004478	FKBP4	0.131101901841554
ENSG00000004487	KDM1A	0.0615489191239008
ENSG00000004534	RBM6	0.251696757467684
ENSG00000004660	CAMKK1	0.00761006570421978
ENSG00000004700	RECQL	0.124195786431478
ENSG00000004766	VPS50	0.0335283291732774
ENSG00000004777	ARHGAP33	0.00856431743649743
ENSG00000004779	NDUFAB1	0.328870328928015
ENSG00000004799	PDK4	0.0164783239775865
ENSG00000004809	SLC22A16	0.00079969981831978
ENSG00000004838	ZMYND10	0.00440937536790053
ENSG00000004846	ABCB5	0.000619129469374916
ENSG00000004848	ARX	0.000140415287539049
ENSG00000004864	SLC25A13	0.0409453818847004
ENSG00000004866	ST7	0.00781530767330324
ENSG00000004897	CDC27	0.0661750058579917
ENSG00000004939	SLC4A1	0.00199198060434458
ENSG00000004948	CALCR	0.000838137828668587
ENSG00000004961	HCCS	0.0685383249828604
ENSG00000004975	DVL2	0.0866552577728134
ENSG00000005001	PRSS22	0.00192795520310382
ENSG00000005007	UPF1	0.0321109164683443
ENSG00000005020	SKAP2	0.218593936289903
ENSG00000005022	SLC25A5	0.716611879032456
ENSG00000005059	CCDC109B	0.538774997847852
ENSG00000005075	POLR2J	0.482206536469988
ENSG00000005100	DHX33	0.0384191421827735
ENSG00000005102	MEOX1	0.00506650442154193
ENSG00000005108	THSD7A	0.000338377448859506
ENSG00000005156	LIG3	0.0386713610606743
ENSG00000005175	RPAP3	0.0832709235598947
ENSG00000005187	ACSM3	0.0260043924415134
ENSG00000005189	AC004381.6	0.00155481181366434
ENSG00000005194	CIAPIN1	0.107574536531009
ENSG00000005206	SPPL2B	0.0477915337602597
ENSG00000005238	FAM214B	0.0491082258212375
ENSG00000005243	COPZ2	0.0171291256507362
ENSG00000005249	PRKAR2B	0.0138472803334063
ENSG00000005302	MSL3	0.228668918008296
ENSG00000005339	CREBBP	0.136179175738522
ENSG00000005379	BZRAP1	0.0214880983581891
ENSG00000005381	MPO	0.00224880897928577
ENSG00000005421	PON1	7.97163287243493e-05
