gene1	gene2	interaction	type	type.1
PTPN6	LILRB2	hsa04662	---	C
PTPN6	LILRB1	hsa04662	---	C
PTPN6	LILRB5	hsa04662	---	C
PTPN6	LILRB4	hsa04662	---	C
PTPN6	LILRA1	hsa04662	---	C
PTPN6	LILRB3	hsa04662	---	C
PTPN6	LILRA2	hsa04662	---	C
PTPN6	LILRA4	hsa04662	---	C
PTPN6	LILRA5	hsa04662	---	C
PTPN6	LILRA6	hsa04662	---	C
PTPN6	CD22	hsa04662	---	C
PTPN6	CD72	hsa04662	---	C
VAV3	BLNK	hsa04662	---	C
VAV1	BLNK	hsa04662	---	C
VAV2	BLNK	hsa04662	---	C
PLCG2	BLNK	hsa04662	---	C
BLNK	BTK	hsa04662	---	C
INPP5D	FCGR2B	hsa04662	---	C
INPPL1	FCGR2B	hsa04662	---	C
LYN	CD79A	hsa04662	+p	M
LYN	CD79B	hsa04662	+p	M
LYN	BTK	hsa04662	+p	M
LYN	SYK	hsa04662	+p	M
SYK	BLNK	hsa04662	+p	M
SYK	PLCG2	hsa04662	+p	M
PLCG2	RASGRP3	hsa04662	6	M
CD19	PIK3CA	hsa04662	--gt	P
CD19	PIK3CB	hsa04662	--gt	P
CD19	PIK3CD	hsa04662	--gt	P
CD19	PIK3R1	hsa04662	--gt	P
CD19	PIK3R2	hsa04662	--gt	P
CD19	PIK3R3	hsa04662	--gt	P
CD19	VAV3	hsa04662	--gt	P
CD19	VAV1	hsa04662	--gt	P
CD19	VAV2	hsa04662	--gt	P
AKT3	GSK3B	hsa04662	--|	N
AKT1	GSK3B	hsa04662	--|	N
AKT2	GSK3B	hsa04662	--|	N
VAV3	RAC1	hsa04662	--gt	P
VAV3	RAC2	hsa04662	--gt	P
VAV3	RAC3	hsa04662	--gt	P
VAV1	RAC1	hsa04662	--gt	P
VAV1	RAC2	hsa04662	--gt	P
VAV1	RAC3	hsa04662	--gt	P
VAV2	RAC1	hsa04662	--gt	P
VAV2	RAC2	hsa04662	--gt	P
VAV2	RAC3	hsa04662	--gt	P
NFKBIA	NFKB1	hsa04662	-+-	M
NFKBIA	RELA	hsa04662	-+-	M
NFKBIB	NFKB1	hsa04662	-+-	M
NFKBIB	RELA	hsa04662	-+-	M
NFKBIE	NFKB1	hsa04662	-+-	M
NFKBIE	RELA	hsa04662	-+-	M
PTPN6	BTK	hsa04662	--|	N
