gene1	gene2	pearson.R	spearman.R	t.value	Pvalue	bonferroni	fdr
ANGPT1	FLT3	0.395292728926243	0.288505728709117	33.2367682645222	2.18618390946196e-222	2.75896409374099e-219	2.75896409374099e-219
EFNA5	FLT1	0.242578960933766	0.315723995349694	19.3120187874949	1.18335367890239e-80	1.49339234277482e-77	7.46696171387408e-78
FGF22	FGFR2	0.169870310639712	0.10640052272486	13.3131514322856	7.16336556989853e-40	9.04016734921194e-37	3.01338911640398e-37
CACNA2D3	RASGRP4	0.10618263100259	0.127982954447375	8.2474728343721	1.9721979000275e-16	2.48891374983471e-13	6.22228437458676e-14
CSF1	FGFR2	0.0958220517085307	0.109654861300445	7.43487577021976	1.19418014999599e-13	1.50705534929494e-10	3.01411069858988e-11
EREG	FLT3	0.0807955836335296	0.175886989501583	6.26058641680455	4.10251028218636e-10	5.17736797611919e-07	8.62894662686531e-08
EREG	KIT	0.0780851955487269	0.132430930301754	6.049256371109	1.54347004330826e-09	1.94785919465502e-06	2.78265599236432e-07
IKBKB	NFKB1	0.0513400641889802	0.0566274296353683	3.97040440605146	7.25943620485041e-05	0.0916140849052122	0.0114517606131515
DUSP5	MAPK12	0.0500225723256235	0.0523104806134232	3.86825667960738	0.000110783709254217	0.139809041078822	0.0155343378976469
RAC2	PAK2	0.0492097851328692	0.049943452833541	3.8052498269815	0.000143078973526998	0.180565664591071	0.0180565664591071
LYN	BTK	0.0477514524598465	0.0689625932592438	3.69221952741618	0.000224291123886805	0.283055398345148	0.0233247616333488
GRB2	PDGFRB	0.0475978523166236	0.0465521148193432	3.68031590410879	0.000235000754928559	0.296570952719841	0.0233247616333488
DUSP10	MAPK11	0.047524662446349	0.0385708282974595	3.67464396604466	0.000240270920153355	0.303221901233534	0.0233247616333488
CHUK	RELB	0.045656076047896	0.0468305945465863	3.52985542353785	0.00041892360999136	0.528681595809096	0.0377629711292212
PPM1A	MAP2K3	0.044347067854159	0.0407536184149165	3.42844834236371	0.000611149110357568	0.771270177271251	0.0514180118180834
RASGRP1	HRAS	0.0431521794184342	0.0464664768962873	3.33589742370147	0.00085544071353176	1	0.0647816280994509
MAPK12	MAPKAPK3	0.0430804849462206	0.0423162091627751	3.33034473833869	0.00087265267645853	1	0.0647816280994509
MDM4	TP53	0.0421861474670483	0.0405361082624287	3.2610832472909	0.00111610922162609	1	0.0760993893089934
RAPGEF2	NRAS	0.0420464575813869	0.0391967477964944	3.25026575164124	0.00115936974913919	1	0.0760993893089934
FGF7	ERBB3	0.0419011420119537	0.0294799596700601	3.2390128092543	0.00120601250885885	1	0.0760993893089934
VEGFB	IGF1R	0.0412019964740758	0.0269245872639313	3.18487526538301	0.00145561839290213	1	0.0874757338972613
FGF22	ERBB3	0.0405510954827619	0.0414459938552268	3.13447769740027	0.0017299592952094	1	0.0936076304184728
MAP3K7	MAP2K3	0.0405072559624227	0.049472598528332	3.13108346195028	0.00175004600115037	1	0.0936076304184728
MAPK11	MAX	0.0404423546504662	0.0376599699362746	3.12605856946843	0.00178017680669045	1	0.0936076304184728
MAPK12	ATF2	0.0389249499467138	0.0306270601110015	3.00858681091857	0.00263561833794186	1	0.132232243021594
INS	FGFR1	0.0387946952970604	0.0356840545325364	2.99850396950524	0.0027242775899853	1	0.132232243021594
SIVA1	BCL2	0.0384116605751469	0.0430861205920717	2.96885463960789	0.00300101019900153	1	0.140269439671849
CASP8	CASP3	0.0379107548796602	0.0358215569029103	2.9300833203273	0.00340156084784117	1	0.150595087289962
DUSP16	MAPK13	0.0378415364607277	0.0445107918760779	2.92472582093799	0.00346058441474557	1	0.150595087289962
MAPK1	PLA2G4A	0.0362078589869523	0.0453042367766191	2.7982914016492	0.00515386028767952	1	0.216805722768385
PRKCB	KRAS	0.0343025141442947	0.0442889490540806	2.65086026622209	0.00804991570475508	1	0.327709471593578
MAPK14	MAX	0.0336452736495617	0.0364239619337584	2.60001132594414	0.0093450512534581	1	0.368545458808254
PTPN6	SYK	0.0328536414350818	0.0340518350146672	2.53876933490079	0.0111495129765957	1	0.420058583601107
RASGRF2	KRAS	-0.0327860932306193	-0.0336855415444729	-2.53354391604511	0.011316950746781	1	0.420058583601107
PRKCB	CARD11	0.0324941819073092	0.0347680941000573	2.51096253119631	0.012066478260245	1	0.435082730412263
MAPK11	RPS6KA5	0.0322849865334847	0.0343064683333135	2.49478020023125	0.012630354906536	1	0.442764108112456
EREG	IGF1R	0.0318897416111065	0.0728630323311263	2.46420688028862	0.0137596780674448	1	0.460364232977718
TP53	GADD45G	0.0318553633596346	0.0217635437012139	2.46154767958088	0.0138619975064606	1	0.460364232977718
TP53	RRM2	0.0314105521766478	0.027202354258467	2.42714176397464	0.0152477236345982	1	0.478629809451732
TP53	CD82	0.0313673118176355	0.0373513395691313	2.423797221818	0.0153887235968806	1	0.478629809451732
PRKCB	HRAS	0.0312431709804347	0.0345689629297961	2.41419528967385	0.0157999226456956	1	0.478629809451732
MRAS	RAF1	0.0310936957429604	0.0356602428988541	2.4026339638222	0.0163078340270234	1	0.478629809451732
ANGPT2	ERBB2	0.0310935588419501	0.0144467313331293	2.40262337513746	0.0163083057103205	1	0.478629809451732
PTPN6	LILRB1	0.0309579239059932	0.0324510224246334	2.39213268234861	0.0167815555910426	1	0.480952327441535
SOS1	RRAS	0.0308547296335221	0.0409903158714127	2.38415120338543	0.0171496471750151	1	0.480952327441535
PTPN7	MAPK11	0.0306261798672533	0.029792967205708	2.36647447470867	0.0179901803845283	1	0.493556687940755
MAPK11	MAPKAPK2	0.0303890423625984	0.0232727589774047	2.34813393713034	0.0189002178891178	1	0.507490956937589
PTPRR	MAPK1	0.0301983509402599	0.0305845223367332	2.33338589084564	0.0196609589775439	1	0.509588085300196
IKBKG	NFKB1	0.0301676487997049	0.0398459944655348	2.33101141573134	0.0197859082248095	1	0.509588085300196
RAC1	PAK2	0.0293748189919713	0.0334659907924314	2.26969696048197	0.0232615126862425	1	0.587120580200761
VAV1	RAC2	0.0290961049425825	0.0306695843602847	2.24814329577168	0.0246034240057617	1	0.590169326489493
DUSP16	MAPK11	0.0290617398317528	0.0281613615695499	2.24548579099084	0.0247734357525038	1	0.590169326489493
MAP2K3	MAPK11	0.0290593611578332	0.0241192935648877	2.24530184491829	0.0247852411283226	1	0.590169326489493
MAPK8	CRK	-0.0288604266802	-0.0296357426815347	-2.22991810739202	0.0257899507018085	1	0.598131612394569
MAPK7	NR4A1	0.0288066457445637	0.044277874196855	2.22575923692644	0.0260675425370058	1	0.598131612394569
PIK3CD	AKT1	-0.02850973476757	-0.0288602774978845	-2.20279950957546	0.0276469877614642	1	0.623044617052997
PDGFA	IGF1R	0.0282507691738182	0.0344456673121387	2.18277452441728	0.0290912796799641	1	0.636644241001929
MAP3K14	NFKB2	0.028221347879985	0.03982426754699	2.18049949730455	0.0292594025183137	1	0.636644241001929
RAP1A	BRAF	0.0279513029255411	0.0299548721142442	2.15961830070033	0.0308419560058744	1	0.657454124678932
MAPK8	CRKL	0.0278823338648237	0.0341818733594304	2.15428535165788	0.0312577238357654	1	0.657454124678932
EFNA1	IGF1R	0.0276483703783404	0.0266996031967519	2.1361946375155	0.0327041399276253	1	0.676600403092838
DAPP1	RAC1	0.0275513883235434	0.00764573082052857	2.12869581572148	0.0333202958753604	1	0.678229248301691
KRAS	JUN	-0.0272863047407058	-0.0279417548644522	-2.10819939659515	0.0350553445132639	1	0.695426019049697
LYN	DAPP1	0.0272546264098734	0.01880602074162	2.10575003921085	0.0352677571811232	1	0.695426019049697
HRAS	JUN	-0.0271686565874147	-0.0309041856478388	-2.09910291478577	0.0358497523764998	1	0.695426019049697
SOS2	HRAS	0.0270929037742134	0.0302637404138284	2.09324580075484	0.0363693480644057	1	0.695426019049697
DUSP7	MAPK9	0.0269353018006641	0.0287792865040922	2.08106032618337	0.0374709419179373	1	0.700760798734448
TP53	MDM2	0.0268947549227762	0.0254621054705832	2.07792534649856	0.0377589019920305	1	0.700760798734448
MAPK13	MAPKAPK2	0.0264304672225645	0.0355983380041541	2.04202855061277	0.0411925904110826	1	0.735624413093851
MAP2K2	MAPK1	0.0263480341782421	0.0333488874684757	2.03565530903676	0.0418290830945975	1	0.735624413093851
MAP2K2	MAPK1	0.0263480341782421	0.0333488874684757	2.03565530903676	0.0418290830945975	1	0.735624413093851
PLCG2	BLNK	0.0263300477080921	0.037306182439806	2.03426470573388	0.0419690631876048	1	0.735624413093851
IKBKB	RELB	-0.0257292506770214	-0.0235765457196037	-1.98781590015444	0.0468776970344648	1	0.800251771708922
HSPA8	MAPK8	-0.0257156746313878	-0.0226145448964091	-1.98676633433499	0.0469939720497555	1	0.800251771708922
PPP3CC	NFATC2	0.0256501550726626	0.0229669262831569	1.98170102434574	0.0475585442774716	1	0.800251771708922
NRAS	ARAF	0.0251049199056609	0.0276581032397649	1.93954993761591	0.0524814963640853	1	0.842530169552627
VAV1	RAC1	0.0250546910522092	0.0280675276924191	1.93566692883467	0.0529557046882732	1	0.842530169552627
MAPK3	MAPT	0.0248615538200511	0.0239149531896552	1.92073633284641	0.054812572854369	1	0.842530169552627
DUSP5	MAPK1	0.0248497960639324	0.0390562560018593	1.91982739903319	0.0549273461155924	1	0.842530169552627
MAPKAPK3	HSPB1	0.0248282919207382	0.0265074507362792	1.91816502243458	0.0551377769255079	1	0.842530169552627
KRAS	RAF1	-0.0247563949562727	-0.0207660027133583	-1.91260705091107	0.0558462154335795	1	0.842530169552627
KRAS	RAF1	-0.0247563949562727	-0.0207660027133583	-1.91260705091107	0.0558462154335795	1	0.842530169552627
PIK3CA	AKT1	0.0246997964779386	0.0281396851577205	1.90823174478879	0.0564092278531146	1	0.842530169552627
DUSP8	MAPK8	0.0246733657587599	0.0211474929452187	1.90618854266505	0.0566737605733713	1	0.842530169552627
MAPK11	ATF2	0.0246660385476688	0.0201174805671036	1.90562212014513	0.0567472776640042	1	0.842530169552627
PIK3CB	AKT2	-0.0244533108189197	-0.0257504198944076	-1.88917755538934	0.0589165011539311	1	0.861543934457758
ECSIT	TRAF6	0.0244074286786864	0.0212479651799155	1.88563074626929	0.059393282327912	1	0.861543934457758
PRKCA	KRAS	0.0242367662122008	0.0243209271909974	1.87243819692291	0.0611948882308083	1	0.877590328946365
DUSP16	MAPK3	-0.0241556049019695	-0.02063836092215	-1.86616432316565	0.0620674166407749	1	0.880102020232111
AKT1	MAP2K4	0.0239834861838338	0.0218233109205524	1.85285944670918	0.0639518636246558	1	0.887533606663578
TNFRSF10B	CASP8	0.023930625433009	0.0284943878995818	1.8487733132459	0.0645400046615126	1	0.887533606663578
MAP3K14	NFKB1	0.0238674786432307	0.0263903824477067	1.84389208980652	0.0652484332576523	1	0.887533606663578
MAPKAPK3	ATF4	0.0238484938629431	0.032052027110289	1.84242457764885	0.0654626682063846	1	0.887533606663578
TP53	EI24	0.0237916240600141	0.0310647216981512	1.8380285878365	0.0661078914630557	1	0.887533606663578
MAP4K4	MAP3K1	-0.0235706489188007	-0.0200477203428459	-1.82094755705576	0.0686649033579109	1	0.900867539257975
MAPK14	ELK1	0.023563426520996	0.0217464132262884	1.820389281588	0.0687498297668688	1	0.900867539257975
MKNK2	ATF4	0.0235216645552028	0.0244945851656351	1.81716117905932	0.0692425921616669	1	0.900867539257975
NF1	RRAS2	-0.0231433053908457	-0.023907768812718	-1.78791533001262	0.0738404129002764	1	0.943485343231526
MAP2K3	MAPK13	0.0231294420148279	0.0304486159275155	1.78684375388192	0.0740135094928059	1	0.943485343231526
PTPN6	LILRA2	0.0230298562682602	0.0261878245860998	1.77914625731142	0.0752666949709898	1	0.949865690533891
RASGRF2	RRAS2	0.0227008718731077	0.0125470130165807	1.75371773009016	0.0795302398063178	1	0.991242539233888
AKT2	MAP2K4	0.0223943985065162	0.0248974679503734	1.73002968382126	0.0836766968740372	1	0.991242539233888
MAPK11	MEF2C	0.022356723208503	0.0243971428750478	1.72711770537219	0.0841982940508995	1	0.991242539233888
DUSP2	MAPK8	-0.0220804970370627	-0.0211685541006056	-1.70576800783834	0.0881033417206361	1	0.991242539233888
NRAS	JUN	-0.0220765757694352	-0.0210783666161805	-1.70546493337918	0.0881598107466487	1	0.991242539233888
CACNA2D2	RASGRF2	0.0219970988529196	0.0345237967675031	1.699322185862	0.0893106356146651	1	0.991242539233888
MAP3K6	MAP2K6	0.0219564899889069	0.0104106085781523	1.69618355114759	0.08990330388077	1	0.991242539233888
MAPK1	RPS6KA2	0.0219198183605987	0.00148759044588196	1.69334923023467	0.0904412257897168	1	0.991242539233888
BCL2	BAX	0.0217897118059404	0.0290274855365375	1.68329345345198	0.0923706254009544	1	0.991242539233888
CACNA2D1	RASGRP2	0.0217778114218165	0.0230929408902608	1.68237369156939	0.0925487379927969	1	0.991242539233888
PTPN7	MAPK13	0.0216403161487137	0.0242606895946208	1.67174695097979	0.0946266818054248	1	0.991242539233888
DUSP7	MAPK3	-0.0216214417677913	-0.0209024911747994	-1.67028819443577	0.0949148226415807	1	0.991242539233888
RRAS2	ARAF	0.0215067653371895	0.0249965252340198	1.66142516096985	0.0966806379130485	1	0.991242539233888
RASGRP1	RRAS2	0.0214658720364618	0.0269126339494231	1.6582646434242	0.0973166408202643	1	0.991242539233888
PTPN6	BTK	0.0212858786484623	0.0226519774595015	1.64435360636706	0.100155877732577	1	0.991242539233888
CACNA1I	RASGRP1	0.0212097031450579	0.0210883833591693	1.6384663258553	0.101377193007833	1	0.991242539233888
MAPK3	STMN1	0.0211809207896229	0.0218548688278509	1.63624186751699	0.101841733187383	1	0.991242539233888
MAPK13	DDIT3	0.0211345944619004	0.0214260531640268	1.63266152329334	0.102592984940467	1	0.991242539233888
MAPK8	ELK1	0.0211143137860274	0.0191003846350472	1.63109412844848	0.102923250955101	1	0.991242539233888
RPS6KA5	ATF4	0.0210494713084703	0.0257661127670017	1.62608278209193	0.103984870242115	1	0.991242539233888
TP53	TSC2	0.0210296534194811	0.0319720445761331	1.62455116202239	0.104311064012806	1	0.991242539233888
FLT3LG	ERBB3	0.0209197243309929	0.0227133046318217	1.61605535755851	0.106135227506232	1	0.991242539233888
TNF	TNFRSF1A	0.0209032425842917	0.0168840109909683	1.61478158059369	0.106410892632406	1	0.991242539233888
