gene1	gene2	pearson.R	spearman.R	t.value	Pvalue	bonferroni	fdr
ANGPT1	FLT3	0.999911689801763	1	457.669180971186	4.83996894843332e-71	6.10804081292285e-68	6.10804081292285e-68
PDGFA	PDGFRA	0.999719054408296	0.592608499874262	256.556621775541	9.60413444931281e-62	1.21204176750328e-58	6.06020883751638e-59
ANGPT1	KIT	0.995271346642319	0.303033142506346	62.3264858820645	4.46207995187922e-39	5.63114489927158e-36	1.87704829975719e-36
EREG	FLT3	0.986546758887197	0.272357567847601	36.7075735233927	1.0437775726682e-30	1.31724729670727e-27	3.29311824176817e-28
EREG	KIT	0.983271687009322	0.305720246644062	32.8365270051856	5.71854941262805e-29	7.2168093587366e-26	1.44336187174732e-26
ANGPT1	FGFR2	0.969427912541657	0.4027453183703	24.0316611125548	3.56028519697053e-24	4.49307991857681e-21	7.48846653096135e-22
EREG	FGFR2	0.9546652206774	0.192176773261404	19.5074282088772	4.60044221947336e-21	5.80575808097538e-18	8.29394011567911e-19
CACNB4	RASGRP4	0.911197012844493	0.340667522200762	13.4538516001989	8.0002785804357e-16	1.00963515685099e-12	1.26204394606373e-13
PDGFC	PDGFRA	0.910500325461318	0.520036495069701	13.3935801638458	9.18913701694336e-16	1.15966909153825e-12	1.28852121282028e-13
PPM1A	MAP2K3	0.89876448373135	0.391902834008097	12.4693772228155	8.10999174909687e-15	1.02348095873603e-11	1.02348095873603e-12
EREG	INSR	0.896147457825444	0.316339497967394	12.2838843532348	1.27111655067997e-14	1.60414908695812e-11	1.45831735178011e-12
SYK	PIK3AP1	0.894358035649249	-0.286960957404849	12.160824168897	1.71660905904913e-14	2.16636063252e-11	1.8053005271e-12
ANGPT1	INSR	0.862973422425465	0.183765272981942	10.3894497694681	1.60279814403135e-12	2.02273125776756e-09	1.55594712135966e-10
PDGFC	IGF1R	0.832413972381451	0.326029861918736	9.13712408302844	5.0593218716303e-11	6.38486420199744e-08	4.56061728714103e-09
LYN	BTK	0.82158545066894	-0.177205485553273	8.76624680814921	1.46155534702928e-10	1.84448284795095e-07	1.2296552319673e-08
MAPKAPK2	ATF4	0.806138220586698	0.583400809716599	8.28683679167967	5.90443836168019e-10	7.4514012124404e-07	4.65712575777525e-08
LYN	SYK	0.774639672583326	0.0655088383343627	7.4508663242996	7.16858114207271e-09	9.04674940129576e-06	5.32161729487986e-07
TAOK3	MAP2K3	0.753979177933211	0.531983805668016	6.98171417329672	2.99834711899789e-08	3.78391406417534e-05	2.10217448009741e-06
TP53	TP53I3	0.745357597417568	0.307530774132528	6.80076820237419	5.23127332994743e-08	6.60186694239366e-05	3.47466681178614e-06
MAP3K5	MAP2K3	0.737321610740902	0.193219404463136	6.63904392428347	8.61922892229498e-08	0.000108774668999363	5.43873344996813e-06
ANGPT1	CSF1R	0.72701327966221	0.161877020179251	6.44057447944571	1.59406196231893e-07	0.000201170619644649	9.57955331641185e-06
EREG	CSF1R	0.711344950856576	0.143503522158209	6.15634227063398	3.85737351839214e-07	0.000486800538021088	2.21272971827767e-05
VEGFB	ERBB3	0.708054165013295	-0.00421002664160196	6.09909478297493	4.61035879289033e-07	0.00058182727966276	2.52968382462069e-05
LYN	DAPP1	0.690922350594143	0.211232423470716	5.81345708998164	1.12342123433459e-06	0.00141775759773025	5.90732332387605e-05
RAC2	PAK2	0.673370033132568	0.521255060728745	5.54026629931144	2.63378216062513e-06	0.00332383308670891	0.000128448264769095
DAPP1	RAC1	0.67326880498057	0.181063314348768	5.53874277664367	2.64631924246947e-06	0.00333965488399647	0.000128448264769095
FLT3LG	IGF1R	-0.656188225829164	-0.172915651286054	-5.28949336068927	5.74965532670175e-06	0.00725606502229761	0.000268743148973985
PPP3CA	NFATC2	0.651121342082289	0.510728744939271	5.21838474149938	7.1710470564196e-06	0.00904986138520153	0.000323209335185769
ANGPT1	IGF1R	0.63041263925	0.303666123817093	4.93990334816191	1.69822532920959e-05	0.021431603654625	0.000739020815676725
PDGFA	IGF1R	0.623277107922753	0.208681448468641	4.84813495326774	2.25315256895469e-05	0.0284347854202082	0.000947826180673606
TP53	CD82	0.620525854914122	0.370242914979757	4.81328597847539	2.50801602465453e-05	0.0316511622311402	0.000989664964734531
RPS6KA1	ATF4	0.620511093413277	0.448178137651822	4.81309978500743	2.5094515746042e-05	0.031669278871505	0.000989664964734531
EREG	IGF1R	0.616162338005469	0.155681443615119	4.75860577777	2.96649840588301e-05	0.0374372098822436	0.00111653815394978
PIK3CB	AKT1	0.615797383521936	0.0400001393498482	4.75406474437738	3.00810596151289e-05	0.0379622972342927	0.00111653815394978
CSF1	FGFR1	0.61020075181339	0.664163688634089	4.68503769297386	3.71636164847182e-05	0.0469004840037144	0.00134001382867755
CD19	VAV3	0.599642855616925	0.295280156445125	4.55783101055583	5.47868973406173e-05	0.069141064443859	0.00192058512344053
PIK3R3	AKT1	0.597418447527888	0.0852153501879949	4.53151276877125	5.93518913424645e-05	0.0749020868741902	0.00202438072632946
PPP3CC	NFATC3	0.58453918359445	0.367206477732794	4.38225821679013	9.326508092032e-05	0.117700532121444	0.0030179623620883
PPP3CC	NFATC3	0.58453918359445	0.367206477732794	4.38225821679013	9.326508092032e-05	0.117700532121444	0.0030179623620883
DUSP5	MAPK1	0.580091071408433	0.623742291704659	4.33190006313546	0.000108543020894064	0.136981292368309	0.00342453230920772
DUSP2	MAPK1	0.573551900111113	0.445344129554656	4.25892465696311	0.000135126629707742	0.17052980669117	0.00415926357783343
