gene1	gene2	pearson.R	spearman.R	t.value	Pvalue	bonferroni	fdr
ANGPT1	FLT3	0.999911663175851	1	412.046248173749	7.3635268033936e-58	9.29277082588272e-55	9.29277082588272e-55
PDGFA	PDGFRA	0.999864318414547	0.59607118668734	332.461206690877	4.59872935825394e-55	5.80359645011647e-52	2.90179822505824e-52
ANGPT1	KIT	0.995285835535792	0.299847055814684	56.208698074752	5.79204755259926e-32	7.30956401138027e-29	2.43652133712676e-29
ANGPT1	FGFR2	0.989355398535672	0.5	37.2384901348172	1.12652866428816e-26	1.42167917433166e-23	3.55419793582914e-24
EREG	FLT3	0.987191658134428	0.268341409054794	33.8918886706116	1.78236116445963e-25	2.24933978954805e-22	4.49867957909611e-23
EREG	KIT	0.983766401292504	0.290342127801705	30.0261704115352	6.09534831787933e-24	7.69232957716371e-21	1.28205492952729e-21
EREG	FGFR2	0.976408552406916	0.268341409054794	24.767179098016	1.58102132117624e-21	1.99524890732441e-18	2.85035558189202e-19
CACNB4	RASGRP4	0.926744481614899	0.321827131931527	13.5110282223531	2.7262374603516e-14	3.44051167496372e-11	4.30063959370465e-12
PPM1A	MAP2K3	0.924595729430746	0.459677419354839	13.2936665216113	4.1453849516428e-14	5.23147580897321e-11	5.81275089885913e-12
PDGFC	PDGFRA	0.910258495885453	0.524642471146324	12.0415564621386	5.11813331572136e-13	6.45908424444036e-10	6.45908424444036e-11
ANGPT1	CSF1R	0.902317454528466	0.163464965539402	11.4648929865666	1.7292322242379e-12	2.18229106698823e-09	1.9839009699893e-10
EREG	INSR	0.900145746441442	0.301438554329271	11.3187044334383	2.36932553377703e-12	2.99008882362661e-09	2.49174068635551e-10
SYK	PIK3AP1	0.897904773482452	-0.409253926632854	11.172515868533	3.25478200402386e-12	4.10753488907811e-09	3.15964222236778e-10
EREG	CSF1R	0.892825313348583	0.259318400537134	10.8573976326629	6.51094043153452e-12	8.21680682459656e-09	5.86914773185469e-10
ANGPT1	INSR	0.868429701475976	0.175780762327663	9.59351998505017	1.19185152842083e-10	1.50411662886709e-07	1.00274441924472e-08
CD19	VAV3	0.865584502630323	0.336212988434357	9.46755780041394	1.61056731857929e-10	2.03253595604706e-07	1.27033497252941e-08
LYN	BTK	0.848927710384285	-0.0228729182994135	8.7978988771091	8.26688804362625e-10	1.04328127110563e-06	6.13694865356255e-08
PDGFC	IGF1R	0.840864737425022	0.352261482764179	8.50927610624079	1.70371410904614e-09	2.15008720561623e-06	1.19449289200902e-07
MAPKAPK2	ATF4	0.834784731622523	0.647727272727273	8.30457622463964	2.8641028189893e-09	3.6144977575645e-06	1.90236724082342e-07
MAP3K5	MAP2K3	0.819688994051412	0.213157503919197	7.83790560673598	9.54984036197776e-09	1.20518985368159e-05	6.02594926840797e-07
TP53	TP53I3	0.780292533513223	0.343227986744582	6.83360678557265	1.3938068848126e-07	0.00017589842886335	8.37611566015953e-06
LYN	SYK	0.778724060173829	0.0668905193908009	6.79865234624739	1.53317899466182e-07	0.000193487189126322	8.79487223301462e-06
TAOK3	MAP2K3	0.772224034099984	0.557184750733138	6.65718585959748	2.2575801403631e-07	0.000284906613713823	1.23872440745141e-05
RAC2	PAK2	0.732236742978257	0.521627565982405	5.88888442249867	1.90285254544728e-06	0.00240139991235447	0.000100058329681436
PPP3CA	NFATC2	0.700507894094649	0.580645161290323	5.37640090009169	8.0474592751922e-06	0.0101558936052926	0.000406235744211702
NFKBIB	RELA	0.696688808000463	0.479472140762463	5.31929585070714	9.4551052519209e-06	0.0119323428279242	0.000458936262612468
LYN	DAPP1	0.694881049349268	0.254732693478374	5.29257343057002	1.01961061661823e-05	0.0128674859817221	0.000468161319791432
DAPP1	RAC1	0.694434405149565	0.193175645382906	5.28600110529569	1.03870974280191e-05	0.0131085169541601	0.000468161319791432
FLT3LG	IGF1R	-0.68896809548769	-0.168641942008862	-5.20650806926651	1.30015185714294e-05	0.0164079164371439	0.000565790221970479
CSF1	FGFR1	0.655642354623748	0.772435340784263	4.75597430823158	4.63681300206302e-05	0.0585165800860353	0.00190441468514105
PIK3R3	AKT1	0.65539524169547	0.203655540167241	4.75283158123673	4.67803924242255e-05	0.0590368552393726	0.00190441468514105
CACNA2D2	RASGRF2	0.653594471928928	0.310425095088186	4.73001028162847	4.98854716510371e-05	0.0629554652236088	0.00196735828823778
RPS6KA1	ATF4	0.641533387364129	0.505865102639296	4.58068760373098	7.59132905065479e-05	0.0958025726192634	0.0028612697817174
TP53	CD82	0.641082851005997	0.297653958944282	4.57522470613768	7.70865075898507e-05	0.0972831725783916	0.0028612697817174
MAP3K11	MAP2K7	0.639694058008677	0.543621700879765	4.55843556638629	8.08059057189014e-05	0.101977053017254	0.00291363008620724
ANGPT1	IGF1R	0.635327758606939	0.327448676726291	4.50614020879115	9.35696215934522e-05	0.118084862450937	0.00328013506808157
PIK3CB	AKT1	0.634329264894278	0.0473786415592565	4.49428381101005	9.67305050528917e-05	0.122073897376749	0.00329929452369593
PDGFA	IGF1R	0.628182103563663	0.230054026205504	4.42211012481216	0.000118384411402977	0.149401127190557	0.00393160861027781
EREG	IGF1R	0.621745198613362	0.228484021960456	4.34799996947693	0.000145607466032398	0.183756622132886	0.0047117082598176
MAPK3	LAMTOR3	0.609195690466067	0.577346041055718	4.20758935084538	0.000215208633210212	0.271593295111288	0.00678983237778219
DUSP4	MAPK1	0.604832910474717	0.58267908128343	4.15997524679548	0.000245576391272069	0.309917405785351	0.00755896111671588
