cluster	Bcell	CD14Monocytes	MacrophagesMonocyte	Tcells	CD4Tcells	CD8Tcells	Endothelialcell	Dendriticcell	RegulatoryTcells	FCGR3AMonocytes	NKCells	Megakaryocytes	ctype	ctype.f
1	8.53E-05	0.004254098	4.11E-05	0.001351969	0.003472637	0.070028045	0	0	8.85E-05	0.031464032	0.886910871	0.002303406	NKCells	NKCells
2	3.28E-05	0.002731541	0.000144036	0.00158948	0.000531139	0.102051578	0	0	0	0.0516864	0.839440779	0.001792258	NKCells	NKCells
3	1.93E-05	0.003440558	2.30E-05	0.001335441	0.000346108	0.083315252	0	0	5.21E-05	0.048867252	0.86152858	0.001072438	NKCells	NKCells
4	0.000339554	0.008819003	0.000165227	0.005094507	0.001862865	0.079168392	0	0.000963868	4.58E-05	0.036073552	0.864184453	0.003282826	NKCells	NKCells
5	0.000289115	0.002983805	0.000108682	0.000421845	0.001022806	0.094703892	0	0	0	0.048536211	0.849080615	0.002853029	NKCells	NKCells
6	0.009334502	0.031549608	0.001669981	0.618888833	0.234708311	0.046186909	0	0.000587185	0.005428873	0.005540814	0.043972332	0.00213265	Tcells	CD4Tcells
7	0.002791571	0.02833208	0.00098402	0.72739936	0.196561792	0.020883447	0	0.000341801	0.005043825	0.005146425	0.009458397	0.003057282	Tcells	CD4Tcells
8	0.005345675	0.037306678	0.001904987	0.630643059	0.272378464	0.019918853	0	0	0.009121105	0.00094526	0.018691323	0.003744597	Tcells	CD4Tcells
9	0.007809911	0.023121024	0.001339489	0.612766547	0.214557344	0.02925165	0	0	0.038497991	0.001078196	0.062732031	0.008845817	Tcells	CD4Tcells
10	0	0	0	0	0	0	0	0	0	0	0	NaN	Bcell	CD4Tcells
11	0.853339964	0.008764802	0.001331093	0.062467483	0.018085987	0.013172393	0	0.000192311	0.000551603	0.003200196	0.03459863	0.004295538	Bcell	Bcell
12	0.001573388	0.019606915	0.00065043	0.613176481	0.292211547	0.010620751	0	0.000208322	0.009141292	0.005657207	0.040256231	0.006897437	Tcells	CD4Tcells
13	0.003801031	0.023770537	0.000394761	0.62792652	0.274736702	0.024045087	0	0.000432661	0.006947037	0.004652631	0.025857866	0.007435166	Tcells	CD4Tcells
14	0.002873475	0.0201238	0.000176361	0.683189088	0.24463573	0.01403963	0	0.000218862	0.004857796	0.002835742	0.02210483	0.004944686	Tcells	CD4Tcells
15	0.003704262	0.016960468	0.000435912	0.526965789	0.156586594	0.202159592	0	0	0.002520328	0.003587786	0.082332358	0.004746912	Tcells	CD4Tcells
