c.number	xy.region	minute
10	1	236.166666666667
10	10	83.5
10	20	31.8999999999999
10	30	20.7833333333333
10	40	22.1499999999999
10	50	23.1499999999999
10	60	30.3333333333333
10	70	34.0333333333333
10	80	24.2166666666667
10	90	28.3833333333332
10	100	29.7333333333333
10	200	20.8833333333332
10	300	17.8166666666666
10	400	26.95
10	500	89.2166666666667
20	1	361.1
20	10	159.866666666667
20	20	119.733333333333
20	30	87.5333333333333
20	40	68.1333333333332
20	50	47.0333333333333
20	60	30.7333333333333
20	70	35.0333333333333
20	80	24.1666666666665
20	90	29.1333333333332
20	100	30.8333333333333
20	200	21.45
20	300	17.3999999999999
20	400	25.2833333333333
20	500	87.8999999999999
30	1	420.75
30	10	181.916666666667
30	20	152.533333333333
30	30	114.483333333333
30	40	129.8
30	50	95.9666666666665
30	60	75.1833333333334
30	70	79.9166666666667
30	80	46.9833333333333
30	90	27.7666666666667
30	100	30.8666666666668
30	200	19.3833333333334
30	300	16.3
30	400	29.25
30	500	91.05
40	1	447.883333333333
40	10	266.583333333333
40	20	213.316666666667
40	30	154.816666666667
40	40	96.9166666666667
40	50	106.716666666667
40	60	92.6000000000001
40	70	86.5333333333335
40	80	79.95
40	90	56.6666666666667
40	100	56.4666666666667
40	200	19.8000000000002
40	300	16.9333333333334
40	400	22.3833333333332
40	500	86.75
50	1	454.05
50	10	207.6
50	20	195.216666666667
50	30	149.366666666667
50	40	140.233333333333
50	50	148.45
50	60	144.433333333333
50	70	109.783333333333
50	80	82.95
50	90	86.3333333333333
50	100	80.05
50	200	21.9833333333331
50	300	18.4499999999998
50	400	27.8
50	500	67.6500000000001
60	1	379.416666666667
60	10	242.233333333333
60	20	208.116666666667
60	30	161.866666666667
60	40	150.516666666667
60	50	163.95
60	60	161.116666666667
60	70	124.333333333333
60	80	93.4166666666667
60	90	92.1833333333334
60	100	69.2
60	200	17.7333333333333
60	300	16.75
60	400	29.1833333333334
60	500	63.6166666666668
70	1	365.45
70	10	228.866666666667
70	20	223.366666666667
70	30	197.083333333333
70	40	175.416666666667
70	50	132.616666666667
70	60	116.116666666667
70	70	116.716666666667
70	80	77.5
70	90	106.4
70	100	77.9333333333334
70	200	17.2333333333333
70	300	14.3166666666666
70	400	20.5333333333333
70	500	64.5333333333333
80	1	468.766666666667
80	10	290.566666666667
80	20	237.066666666667
80	30	182.316666666667
80	40	150.533333333333
80	50	133.416666666667
80	60	123.733333333333
80	70	111.816666666667
80	80	97.6333333333334
80	90	85.9000000000001
80	100	79.3333333333335
80	200	16.3166666666668
80	300	13.5666666666668
80	400	26.3333333333333
80	500	89.8333333333335
90	1	407.483333333333
90	10	253.483333333333
90	20	204.666666666667
90	30	162.2
90	40	181.983333333333
90	50	134.016666666667
90	60	126.883333333333
90	70	115.733333333333
90	80	103.55
90	90	97.8500000000001
90	100	107.066666666667
90	200	18.9666666666667
90	300	16.25
90	400	22.2
90	500	64.7333333333333
100	1	408.05
100	10	235.716666666666
100	20	205.483333333333
100	30	183.316666666667
100	40	158.733333333333
100	50	148.083333333333
100	60	125.966666666666
100	70	127.983333333333
100	80	99.7166666666665
100	90	77.5333333333333
100	100	79.7333333333333
100	200	16.4666666666667
100	300	12.6166666666666
100	400	26.8166666666668
100	500	65.3499999999999
200	1	439.766666666667
200	10	298.666666666667
200	20	264.716666666667
200	30	248.816666666667
200	40	219.283333333333
200	50	184.283333333333
200	60	143.466666666667
200	70	142.266666666667
200	80	115.916666666667
200	90	118.633333333333
200	100	129.133333333333
200	200	43.55
200	300	13.7166666666667
200	400	21.2833333333333
200	500	65.0666666666666
300	1	421.233333333333
300	10	279.583333333333
300	20	225.933333333333
300	30	204.666666666667
300	40	184.733333333333
300	50	160.116666666667
300	60	150.55
300	70	167.433333333333
300	80	128.466666666666
300	90	100
300	100	150.6
300	200	54.1666666666667
300	300	16.2833333333333
300	400	20.05
300	500	66.6666666666667
400	1	435.433333333333
400	10	248.333333333333
400	20	252.833333333333
400	30	224.016666666667
400	40	216.216666666667
400	50	221.833333333333
400	60	184.966666666667
400	70	165.616666666667
400	80	127.083333333333
400	90	165.3
400	100	130.683333333333
400	200	45.1333333333332
400	300	15.5
400	400	19.8833333333332
400	500	88.9833333333333
500	1	438.066666666667
500	10	280.783333333333
500	20	194.8
500	30	268.466666666667
500	40	194.333333333333
500	50	240.383333333333
500	60	175.766666666667
500	70	188.783333333334
500	80	124.65
500	90	157.05
500	100	137.183333333333
500	200	58.3499999999999
500	300	34.2666666666667
500	400	24
500	500	91.3666666666666
600	1	435.1
600	10	281.416666666667
600	20	251.383333333333
600	30	240.35
600	40	229.166666666667
600	50	178.916666666667
600	60	155.566666666667
600	70	164.666666666667
600	80	143.333333333333
600	90	138.983333333333
600	100	118.533333333333
600	200	76.0666666666666
600	300	34.7166666666667
600	400	26.7166666666667
600	500	88.1500000000001
700	1	519.866666666667
700	10	327.816666666667
700	20	281.95
700	30	254.866666666667
700	40	242.183333333333
700	50	216.233333333333
700	60	197.716666666666
700	70	209.8
700	80	167.466666666667
700	90	153.716666666667
700	100	148.833333333333
700	200	75.45
700	300	34.3999999999999
700	400	24.5333333333333
700	500	88.6333333333332
800	1	521.95
800	10	338.616666666667
800	20	274.983333333333
800	30	256.783333333333
800	40	241.033333333333
800	50	210.566666666667
800	60	200.466666666667
800	70	202.016666666667
800	80	166.95
800	90	185.233333333333
800	100	146.566666666667
800	200	75.6
800	300	35.5
800	400	25.9333333333333
800	500	66.3666666666667
900	1	539.133333333333
900	10	381.233333333333
900	20	281.466666666667
900	30	282.733333333333
900	40	233.066666666667
900	50	205.1
900	60	239.4
900	70	194.1
900	80	165.283333333333
900	90	182.483333333333
900	100	141.7
900	200	57.4
900	300	33.6666666666667
900	400	17.9
900	500	84.0333333333333
1000	1	489.316666666667
1000	10	361.2
1000	20	331.166666666667
1000	30	275.533333333333
1000	40	215
1000	50	192.633333333333
1000	60	238.95
1000	70	203.2
1000	80	148.083333333333
1000	90	151.533333333333
1000	100	122.833333333333
1000	200	67.5833333333333
1000	300	29.75
1000	400	23.0166666666667
1000	500	83.9
