gene1	gene2	pearson.R	spearman.R	t.value	Pvalue	bonferroni	fdr
PDGFA	PDGFRA	0.991738125760813	0.579225794085885	135.45991187184	7.3334282230664e-276	9.2547864175098e-273	9.2547864175098e-273
ANGPT1	FLT3	0.941736722113767	0.5	49.0575736102671	2.56593570191872e-147	3.23821085582142e-144	1.61910542791071e-144
ANGPT1	KIT	0.919659944383884	0.31467722771572	41.0315802709954	1.19164307529925e-126	1.50385356102765e-123	5.01284520342551e-124
PDGFC	PDGFRA	0.64218929885278	0.450127008106292	14.6789158487	2.52129321605868e-37	3.18187203866605e-34	7.95468009666514e-35
EREG	FLT3	0.47256175705662	0.284885295093096	9.39518191593838	1.35340547736859e-18	1.70799771243916e-15	3.41599542487832e-16
EREG	KIT	0.462439152025081	0.354908429426534	9.13841898509922	8.87206109943234e-18	1.11965411074836e-14	1.74491071332621e-15
CD19	VAV2	0.461962510929023	0.0657498745630296	9.12644275918282	9.67858557312476e-18	1.22143749932834e-14	1.74491071332621e-15
ANGPT1	FGFR2	0.426574376206614	0.402238554926192	8.26376949529437	4.28889007841567e-15	5.41257927896058e-12	6.76572409870072e-13
RAC1	PAK2	0.398897288325679	0.125640643563702	7.62189592013434	3.13883486001261e-13	3.96120959333591e-10	4.40134399259546e-11
PLCG2	PRKCB	0.363747143792111	0.0104492237039522	6.84206160359331	4.2389130293409e-11	5.34950824302822e-08	5.34950824302822e-09
PPM1A	MAP2K3	0.327209023860642	0.276828680730855	6.06714980287197	3.82788152138834e-09	4.83078647999209e-06	4.39162407272008e-07
MAPK14	MAPKAPK2	0.311349743164274	0.150654825058413	5.74062363714059	2.26533791011153e-08	2.85885644256075e-05	2.38238036880063e-06
TP53	SIVA1	0.292399749852335	0.0599701849347427	5.35739617107961	1.6595659013589e-07	0.000209437216751493	1.61105551347302e-05
MAPK13	MAPKAPK2	0.286192307936158	0.141904713746984	5.23339576797296	3.0902658130713e-07	0.000389991545609598	2.78565389721141e-05
PDGFC	FLT3	0.264810080495546	0.308446658804167	4.81161943180186	2.35138074513233e-06	0.002967442500357	0.000192078594453547
LYN	DAPP1	0.264238577307485	0.181073475731746	4.80045479446263	2.47663149602607e-06	0.0031255089479849	0.000192078594453547
DUSP7	MAPK13	0.263755583735916	0.0641027195124107	4.79102348174556	2.5874295607847e-06	0.00326533610571029	0.000192078594453547
PDGFB	ERBB2	0.262924665485684	0.0496368418510455	4.77480737541979	2.78920405211667e-06	0.00351997551377124	0.000194902727501542
CACNA2D3	RASGRF2	0.262361718062456	0.0515004942753282	4.7638274460924	2.93435168187741e-06	0.00370315182252929	0.000194902727501542
PDGFC	KIT	0.259841342879768	0.387467001617985	4.71473296679993	3.67733120064874e-06	0.00464079197521871	0.000232039598760935
TAB2	TRAF6	0.258846526763686	0.157191415128203	4.69538342565405	4.01739750554817e-06	0.00506995565200179	0.000241426459619133
CACNA1F	RASGRP4	0.256098465099189	0.28175196431511	4.64201557691001	5.11964920594688e-06	0.00646099729790496	0.000293262541561802
ECSIT	TRAF6	0.255607543156512	0.0898592532634053	4.63249451611422	5.34472143892349e-06	0.00674503845592144	0.000293262541561802
MAPK13	ELK4	0.250093724259713	0.194902742507227	4.52581919561165	8.61366197989528e-06	0.0108704414186278	0.000452935059109493
CSF1	CSF1R	0.244853941354687	0.227587810418571	4.42488112221394	1.34202034509318e-05	0.0169362967550759	0.000677451870203037
CASP3	STK4	0.241086446957009	0.173599109264302	4.35256046927938	1.83484725641728e-05	0.0231557723759861	0.000890606629845618
EFNA1	IGF1R	0.240542037069415	0.0881805373775384	4.34212737861581	1.91888465426667e-05	0.0242163243368454	0.000896900901364643
PPP3CA	NFATC2	0.232856945140454	0.233717526087402	4.1953081093783	3.57087192052347e-05	0.0450644036370062	0.00160944298703594
RAC2	PAK2	0.228521807885806	0.16106426119922	4.11285668772962	5.02320217402894e-05	0.0633928114362452	0.0021652808646454
MAPK3	LAMTOR3	0.228208682966621	0.13293163698925	4.10691133158324	5.14726037554374e-05	0.064958425939362	0.0021652808646454
PDGFA	IGF1R	0.226978038261897	0.176766353021669	4.08355787384264	5.6633867488804e-05	0.0714719407708706	0.0023055464764797
DUSP10	MAPK11	0.226451726123615	0.201303377175219	4.07357656106712	5.89868839221084e-05	0.0744414475097008	0.00232629523467815
VAV1	RAC2	0.214648583280026	0.101722082037571	3.8507016796827	0.000143360163839615	0.180920526765594	0.005482440205018
MAPK3	STMN1	0.214165587542482	0.202129789386326	3.84161992582746	0.000148516003521054	0.18742719644357	0.00551256460128148
LYN	SYK	0.213429297491971	0.102950623809479	3.82778116663118	0.000156711006461762	0.197769290154744	0.00565055114727839
EREG	FGFR2	0.208833251329066	0.22599691460335	3.7415506251189	0.000218232201167023	0.275409037872783	0.00765025105202175
PPP3CC	NFATC1	0.207406025579049	0.144195766858015	3.71482623966532	0.00024152110251985	0.304799631380051	0.00802104293105397
