gene1	gene2	pearson.R	spearman.R	t.value	Pvalue	bonferroni	fdr
ANGPT1	FLT3	0.952425157729298	0.537034077232293	31.8692359851902	1.76449786067732e-55	2.27796673813442e-52	2.27796673813442e-52
ANGPT1	KIT	0.900536548961853	0.350137653037626	21.1226371439931	2.07489019399489e-39	2.6786832404474e-36	1.3393416202237e-36
BLNK	BTK	0.867135386408792	0.681638174364037	17.7546047989246	2.96058912651216e-33	3.8221205623272e-30	1.2740401874424e-30
LYN	SYK	0.851094986837864	0.798132808013504	16.5320111713843	7.21826875149301e-31	9.31878495817748e-28	2.32969623954437e-28
SYK	PIK3AP1	0.768433678455214	0.745784666430994	12.2459074606281	6.94564845047902e-22	8.96683214956841e-19	1.79336642991368e-19
LYN	DAPP1	0.757172174108276	0.660439283489655	11.8210194143099	5.97104200314907e-21	7.70861522606545e-18	1.28476920434424e-18
PTPN6	CD72	0.729719152647323	0.476319363654827	10.8837105120825	7.1584945626835e-19	9.2416164804244e-16	1.32023092577491e-16
PTPN6	BTK	0.72565773786375	0.652519825969588	10.7553565194951	1.38325177830896e-18	1.78577804579687e-15	2.23222255724608e-16
PDGFD	PDGFRB	0.70610568855183	0.360983498434155	10.169224249474	2.81663548249756e-17	3.63627640790435e-14	3.82105789913812e-15
PAK1	MAP3K2	0.705770133696298	0.373473757955571	10.1595931275233	2.95976599468483e-17	3.82105789913812e-14	3.82105789913812e-15
CACNA2D3	RASGRP4	0.703893689836438	0.670687898213768	10.1059853197906	3.90015809630091e-17	5.03510410232447e-14	4.57736736574952e-15
PTPN6	CD22	0.693732815169828	0.481892355795742	9.82282085390344	1.67507810334972e-16	2.16252583142449e-13	1.80210485952041e-14
PDGFD	ERBB2	0.68968018353549	0.350911780187683	9.71308987066991	2.94614300058596e-16	3.80347061375647e-13	2.92574662596652e-14
RAC1	PAK1	0.682667205849949	0.293267337870589	9.5272841246758	7.66090127355603e-16	9.89022354416084e-13	7.06444538868631e-14
PPP3CC	NFATC1	0.679606791377182	0.33650318840834	9.44776142485545	1.15291717958696e-15	1.48841607884677e-12	9.30260049279228e-14
PPP3CC	NFATC1	0.679606791377182	0.33650318840834	9.44776142485545	1.15291717958696e-15	1.48841607884677e-12	9.30260049279228e-14
RAC1	MAP3K1	0.677070147774638	0.282722354698777	9.38254431966171	1.61183592414797e-15	2.08088017807503e-12	1.22404716357355e-13
VEGFA	INSR	0.644198754623987	0.623717125291595	8.58925825886179	9.33626757462032e-14	1.20531214388348e-10	6.64053450620461e-12
EREG	INSR	0.643804336158612	0.610088079832482	8.58027469885727	9.7730562058782e-14	1.26170155617888e-10	6.64053450620461e-12
PLCG2	BLNK	0.642694829883942	0.500895083980009	8.55506631993311	1.11105174503656e-13	1.4343678028422e-10	7.17183901421099e-12
LYN	BTK	0.636852954278979	0.727309013036885	8.42383295983431	2.16431158093062e-13	2.79412625098143e-10	1.33053630999116e-11
ANGPT1	FGFR2	0.629978884129767	0.343209362908172	8.27253130124891	4.65878911697513e-13	6.01449675001489e-10	2.73386215909768e-11
VEGFA	CSF1R	0.62392672965702	0.496057953110063	8.14199465172767	9.00862599036911e-13	1.16301361535665e-09	5.05658093633327e-11
FGF22	EPHA2	0.621591804381386	0.170364528065605	8.09228020000727	1.15743899464113e-12	1.4942537420817e-09	6.22605725867375e-11
PIK3AP1	PIK3CB	0.6146657146172	0.267965009920089	7.94685924671806	2.40484324666178e-12	3.10465263144036e-09	1.24186105257614e-10
EREG	CSF1R	0.60629434664351	0.624155017541225	7.77502505847863	5.68512622780554e-12	7.33949796009695e-09	2.82288383080652e-10
DUSP7	MAPK14	0.604665867405557	0.367540274100761	7.74208009521348	6.70137504746252e-12	8.65147518627411e-09	3.20425006899041e-10
PAK1	MAP3K3	0.593655250644522	0.401060614908963	7.52326687298333	1.98903236849672e-11	2.56784078772927e-08	9.17085995617595e-10
RPS6KA4	ATF4	0.586442091228345	0.229196086349583	7.3834871966353	3.96830187275462e-11	5.12307771772621e-08	1.76657852335387e-09
RASGRP3	RRAS2	0.583872002623874	0.527051301356832	7.33433615666522	5.05488726568348e-11	6.52585945999737e-08	2.17528648666579e-09
CACNA1A	RASGRP3	0.580176002000266	0.448667703637798	7.2642380831436	7.13287495136065e-11	9.2085415622066e-08	2.97049727813116e-09
CDC42	PAK2	0.57578250711021	0.393093667264938	7.18179016740669	1.06813259949314e-10	1.37895918594564e-07	4.30924745608014e-09
PDGFC	IGF1R	0.575374198222837	0.420607225259671	7.17417552958245	1.10864034475217e-10	1.43125468507505e-07	4.33713540931834e-09
RASGRP4	MRAS	0.574586023691387	0.525631763956881	7.15949935901319	1.19105771360007e-10	1.53765550825769e-07	4.52251620075791e-09
PTPN6	SYK	0.572099674588692	0.721611114306983	7.11339660160449	1.49153541850411e-10	1.92557222528881e-07	5.50163492939659e-09
BTK	PLCG2	0.56111451304847	0.549445555706295	6.91313727585457	3.94177830882853e-10	5.08883579669763e-07	1.41356549908268e-08
PDGFC	PDGFRA	0.557925329890901	0.332233856359371	6.85601270251361	5.19228673558676e-10	6.70324217564251e-07	1.81168707449798e-08
AREG	ERBB2	0.555895416771098	0.320572400257259	6.81988316678092	6.1783156934921e-10	7.9762055602983e-07	2.09900146323639e-08
PAK2	MAP3K2	0.550192787315252	0.413179704640608	6.71932270069225	1.00072258394108e-09	1.29193285586793e-06	3.26213527138888e-08
PDGFC	INSR	0.550073972859689	0.48945492350048	6.71724201395756	1.01073130019795e-09	1.30485410855555e-06	3.26213527138888e-08
PLCG2	PRKCB	0.548902521016596	0.607433497919638	6.69675871850253	1.11470069560636e-09	1.43907859802781e-06	3.50994780006783e-08
RAC1	PAK2	0.535485211154164	0.350218782827982	6.46608723102607	3.33210317964678e-09	4.30174520492399e-06	1.02422504879143e-07
BLNK	GRB2	0.531144932237189	0.519590993863844	6.39296392670141	4.70054174138361e-09	6.06839938812624e-06	1.41125567165727e-07
PDGFD	NGFR	0.526264554202577	0.255991199022066	6.31157779879521	6.88136411468653e-09	8.88384107206031e-06	2.01905478910462e-07
MAP4K4	MAP3K1	0.524610469018102	0.349647595082746	6.28419086605622	7.81959326010055e-09	1.00950948987898e-05	2.24335442195329e-07
CDC42	MAP3K1	0.522854529271114	0.25025769302201	6.25522493926981	8.94927076006284e-09	1.15535085512411e-05	2.51163229374807e-07
TGFB1	TGFBR1	0.520774794888441	0.371442325863089	6.22105938756159	1.04898323858685e-08	1.35423736101562e-05	2.88135608726728e-07
DUSP3	MAPK14	0.516304928410808	0.325934826360941	6.1481412391746	1.47050808607921e-08	1.89842593912826e-05	3.95505403985054e-07
CDC42	PAK1	0.5097109658126	0.339360518559522	6.04181818364006	2.39915254925357e-08	3.09730594108636e-05	6.3210325328293e-07
MAPK3	MAPT	0.507145444738693	0.225264165925399	6.00084250292531	2.89441406311152e-08	3.73668855547697e-05	7.47337711095394e-07
