gene	sym	Variance
ENSG00000000003	TSPAN6	0.00215690351645519
ENSG00000000419	DPM1	0.0823246769543509
ENSG00000000457	SCYL3	0.0209887151717703
ENSG00000000460	C1orf112	0.00320437551010462
ENSG00000000938	FGR	0.22547860722636
ENSG00000000971	CFH	0.0054369369205856
ENSG00000001036	FUCA2	0.0187621659837028
ENSG00000001084	GCLC	0.0151805485020805
ENSG00000001167	NFYA	0.015558094654565
ENSG00000001460	STPG1	0.00681130789696498
ENSG00000001461	NIPAL3	0.0683174007321374
ENSG00000001497	LAS1L	0.031017330954113
ENSG00000001561	ENPP4	0.0114592797973618
ENSG00000001629	ANKIB1	0.0239292110982602
ENSG00000001630	CYP51A1	0.000939259738361717
ENSG00000001631	KRIT1	0.0376359806379717
ENSG00000002016	RAD52	0.00562180831252249
ENSG00000002330	BAD	0.0627512785043555
ENSG00000002549	LAP3	0.0590745476792217
ENSG00000002586	CD99	0.549669708673341
ENSG00000002587	HS3ST1	0.0088835807668326
ENSG00000002726	AOC1	2.54886816243929e-05
ENSG00000002745	WNT16	0.00120685157419434
ENSG00000002822	MAD1L1	0.162217301915508
ENSG00000002834	LASP1	0.126415750502932
ENSG00000002919	SNX11	0.0219995546687207
ENSG00000002933	TMEM176A	0.029365664562111
ENSG00000003056	M6PR	0.182316353726723
ENSG00000003096	KLHL13	0.000731059930458609
ENSG00000003147	ICA1	0.00787840200009619
ENSG00000003249	DBNDD1	0.0055941905540924
ENSG00000003393	ALS2	0.00372760227960129
ENSG00000003400	CASP10	0.0237597100973242
ENSG00000003402	CFLAR	0.216955965210369
ENSG00000003436	TFPI	0.000293043416630883
ENSG00000003509	NDUFAF7	0.0206966285085699
ENSG00000003756	RBM5	0.0977522398120883
ENSG00000004059	ARF5	0.200892248876088
ENSG00000004139	SARM1	0.00948714655771825
ENSG00000004142	POLDIP2	0.0640962173129107
ENSG00000004399	PLXND1	0.0181637701336489
ENSG00000004455	AK2	0.0719088837365667
ENSG00000004468	CD38	0.0292115284027645
ENSG00000004478	FKBP4	0.053780629105073
ENSG00000004487	KDM1A	0.023540079749863
ENSG00000004534	RBM6	0.103769881874036
ENSG00000004660	CAMKK1	0.00267349184096402
ENSG00000004700	RECQL	0.0472662194645549
ENSG00000004766	VPS50	0.0127374753430572
ENSG00000004777	ARHGAP33	0.00309693270722042
ENSG00000004779	NDUFAB1	0.134462627841264
ENSG00000004799	PDK4	0.00490642818821048
ENSG00000004809	SLC22A16	0.000254159369344148
ENSG00000004838	ZMYND10	0.00148020339701852
ENSG00000004846	ABCB5	0.000216129877266556
ENSG00000004848	ARX	6.51911997050349e-05
ENSG00000004864	SLC25A13	0.0149492007693571
ENSG00000004866	ST7	0.0027232284182374
ENSG00000004897	CDC27	0.0254477706230609
ENSG00000004939	SLC4A1	0.00151047401823375
ENSG00000004948	CALCR	0.000252966085410651
ENSG00000004961	HCCS	0.0254505480720797
ENSG00000004975	DVL2	0.0354777398568193
ENSG00000005001	PRSS22	0.000806676398056273
ENSG00000005007	UPF1	0.0115147048167204
ENSG00000005020	SKAP2	0.0834872200144483
ENSG00000005022	SLC25A5	0.368270522475889
ENSG00000005059	CCDC109B	0.271982529904833
ENSG00000005075	POLR2J	0.210039727752309
ENSG00000005100	DHX33	0.014620415664294
ENSG00000005102	MEOX1	0.00220758191072149
ENSG00000005108	THSD7A	7.22370293838608e-05
ENSG00000005156	LIG3	0.014635949070994
ENSG00000005175	RPAP3	0.0329477183807083
ENSG00000005187	ACSM3	0.0111974269150802
ENSG00000005189	AC004381.6	0.000479654901760669
ENSG00000005194	CIAPIN1	0.0438000900509048
ENSG00000005206	SPPL2B	0.0189573447344922
ENSG00000005238	FAM214B	0.0166278027965377
ENSG00000005243	COPZ2	0.00530666425627804
ENSG00000005249	PRKAR2B	0.00548341516089683
ENSG00000005302	MSL3	0.096988569578455
ENSG00000005339	CREBBP	0.051270678268913
ENSG00000005379	BZRAP1	0.00690578097822369
ENSG00000005381	MPO	0.000738847754392548
ENSG00000005421	PON1	4.99729478474627e-05
ENSG00000005436	GCFC2	0.0273799057912511
ENSG00000005448	WDR54	0.0651884100948662
ENSG00000005469	CROT	0.0126426119627391
ENSG00000005471	ABCB4	0.0106717795016842
ENSG00000005483	KMT2E	0.301908402584167
ENSG00000005486	RHBDD2	0.0651658014109013
ENSG00000005513	SOX8	0.00160934645168171
ENSG00000005700	IBTK	0.041910088114124
ENSG00000005801	ZNF195	0.0237392940921926
ENSG00000005810	MYCBP2	0.151851876661213
ENSG00000005812	FBXL3	0.0638757874248203
ENSG00000005844	ITGAL	0.107597649687371
ENSG00000005882	PDK2	0.0268650033539693
ENSG00000005884	ITGA3	0.00276934937749208
ENSG00000005889	ZFX	0.0404136720580645
ENSG00000005893	LAMP2	0.0546920611269165
ENSG00000005961	ITGA2B	0.00404877997439582
ENSG00000006007	GDE1	0.0400545876439706
ENSG00000006015	C19orf60	0.237785324529278
ENSG00000006016	CRLF1	0.000428805925284705
ENSG00000006025	OSBPL7	0.0157349406449811
ENSG00000006042	TMEM98	0.000181827232650702
ENSG00000006047	YBX2	0.000145919211668548
ENSG00000006062	MAP3K14	0.0168138143628393
ENSG00000006071	ABCC8	6.83020301524234e-05
ENSG00000006116	CACNG3	2.58545840969539e-06
ENSG00000006118	TMEM132A	0.000200579261234466
ENSG00000006125	AP2B1	0.0653005992897966
ENSG00000006128	TAC1	4.68101621582778e-06
ENSG00000006194	ZNF263	0.0364665599301579
ENSG00000006210	CX3CL1	0.000370041783974601
ENSG00000006282	SPATA20	0.010773669734674
ENSG00000006327	TNFRSF12A	0.00202054817501174
ENSG00000006432	MAP3K9	0.00333835464328659
ENSG00000006451	RALA	0.0444238528601624
ENSG00000006453	BAIAP2L1	0.000708287947220692
ENSG00000006459	KDM7A	0.0278278481058721
ENSG00000006468	ETV1	0.00012315080716666
ENSG00000006530	AGK	0.0227244983741663
ENSG00000006534	ALDH3B1	0.011018295242445
ENSG00000006555	TTC22	0.00826284070412742
ENSG00000006576	PHTF2	0.0297140821270929
ENSG00000006606	CCL26	0.000198581048158899
ENSG00000006607	FARP2	0.0059155691227132
ENSG00000006625	GGCT	0.0516481327573096
ENSG00000006634	DBF4	0.035637744912624
ENSG00000006638	TBXA2R	0.00716887545522145
ENSG00000006652	IFRD1	0.0691478603211519
ENSG00000006659	LGALS14	0.000905964422682666
ENSG00000006695	COX10	0.0136935049733319
ENSG00000006704	GTF2IRD1	0.000721306678090352
ENSG00000006712	PAF1	0.0314586227179638
ENSG00000006715	VPS41	0.0275175936992287
ENSG00000006740	ARHGAP44	0.00402505466683219
ENSG00000006744	ELAC2	0.0306502902643763
ENSG00000006747	SCIN	0.000920131960667861
ENSG00000006756	ARSD	0.00701849097120227
ENSG00000006757	PNPLA4	0.0123131744491153
ENSG00000006831	ADIPOR2	0.0276265910212702
ENSG00000006837	CDKL3	0.00363280442165005
ENSG00000007038	PRSS21	0.00414427243762177
ENSG00000007047	MARK4	0.012372262874411
ENSG00000007080	CCDC124	0.0928582734842946
ENSG00000007129	CEACAM21	0.0167132542028789
ENSG00000007168	PAFAH1B1	0.0627934150039142
ENSG00000007174	DNAH9	0.000138594174006728
ENSG00000007202	KIAA0100	0.018829519213398
ENSG00000007237	GAS7	0.02687777341254
ENSG00000007255	TRAPPC6A	0.154679897492081
ENSG00000007264	MATK	0.255268460933798
ENSG00000007312	CD79B	0.448975903832231
ENSG00000007314	SCN4A	0.000262718274015019
ENSG00000007341	ST7L	0.0146070495203724
ENSG00000007350	TKTL1	0.0204724204138615
ENSG00000007372	PAX6	6.58682345503521e-05
ENSG00000007376	RPUSD1	0.0374221685350296
ENSG00000007392	LUC7L	0.0314847003630639
ENSG00000007402	CACNA2D2	0.00508261364746299
ENSG00000007516	BAIAP3	0.00319167313790759
ENSG00000007520	TSR3	0.0800905420767901
ENSG00000007541	PIGQ	0.0161355914495816
ENSG00000007545	CRAMP1	0.0051195977443204
ENSG00000007866	TEAD3	0.000520315112539419
ENSG00000007923	DNAJC11	0.0117128965440321
ENSG00000007944	MYLIP	0.167935722456898
ENSG00000007968	E2F2	0.000832569350337604
ENSG00000008018	PSMB1	0.271657449551418
ENSG00000008056	SYN1	0.000925296613633374
ENSG00000008083	JARID2	0.0478053284286482
ENSG00000008086	CDKL5	0.0030328663755914
ENSG00000008128	CDK11A	0.0662112738648895
ENSG00000008130	NADK	0.0521088034255147
ENSG00000008226	DLEC1	0.000969340376560817
ENSG00000008256	CYTH3	0.00650780955318381
ENSG00000008277	ADAM22	0.00170238149438688
ENSG00000008282	SYPL1	0.152939546755257
ENSG00000008283	CYB561	0.0201105837403701
ENSG00000008294	SPAG9	0.0339955258871827
ENSG00000008300	CELSR3	0.00083498643730823
ENSG00000008311	AASS	0.00140458342983242
ENSG00000008323	PLEKHG6	0.000361822909184798
ENSG00000008324	SS18L2	0.136051958462048
ENSG00000008382	MPND	0.0143345517648159
ENSG00000008394	MGST1	0.045682586742498
ENSG00000008405	CRY1	0.0230662160772069
ENSG00000008438	PGLYRP1	5.66594681112382e-05
ENSG00000008441	NFIX	0.00385097126142539
ENSG00000008513	ST3GAL1	0.098351025906088
ENSG00000008516	MMP25	0.00222540809084143
ENSG00000008517	IL32	1.41867844611678
ENSG00000008710	PKD1	0.0122363917217088
ENSG00000008735	MAPK8IP2	7.01565360401019e-05
ENSG00000008838	MED24	0.0236579953328835
ENSG00000008853	RHOBTB2	0.00509755038979966
ENSG00000008869	HEATR5B	0.0215275679328306
ENSG00000008952	SEC62	0.352200230396946
ENSG00000008988	RPS20	0.59723213159886
ENSG00000009307	CSDE1	0.285786061062416
ENSG00000009335	UBE3C	0.0255488786362893
ENSG00000009413	REV3L	0.0419451645152748
ENSG00000009694	TENM1	0.00228876057071172
ENSG00000009724	MASP2	0.000187412567600599
ENSG00000009765	IYD	0.000422390957820907
ENSG00000009780	FAM76A	0.0345938030369443
ENSG00000009790	TRAF3IP3	0.459083662594511
ENSG00000009830	POMT2	0.00100275258521261
ENSG00000009844	VTA1	0.0376605535874665
ENSG00000009950	MLXIPL	0.000891257531501277
ENSG00000009954	BAZ1B	0.0476113184739048
ENSG00000010017	RANBP9	0.022248759822652
ENSG00000010030	ETV7	0.00394326307792523
ENSG00000010072	SPRTN	0.0432209382211192
ENSG00000010165	METTL13	0.0215900768444371
ENSG00000010219	DYRK4	0.0286437609354695
ENSG00000010244	ZNF207	0.237082752747553
ENSG00000010256	UQCRC1	0.114966416509859
