gene1	gene2	pathway	interaction	type
CGA	ADCYAP1R1	hsa04024	--gt	P
CGA	ADORA2A	hsa04024	--gt	P
CGA	GPR119	hsa04024	--gt	P
CGA	ADRB1	hsa04024	--gt	P
CGA	DRD1	hsa04024	--gt	P
CGA	DRD5	hsa04024	--gt	P
CGA	FSHR	hsa04024	--gt	P
CGA	GIPR	hsa04024	--gt	P
CGA	GLP1R	hsa04024	--gt	P
CGA	HTR4	hsa04024	--gt	P
CGA	HTR6	hsa04024	--gt	P
CGA	LHCGR	hsa04024	--gt	P
CGA	MC2R	hsa04024	--gt	P
CGA	NPR1	hsa04024	--gt	P
CGA	PTGER2	hsa04024	--gt	P
CGA	TSHR	hsa04024	--gt	P
CGA	VIPR2	hsa04024	--gt	P
FSHB	ADCYAP1R1	hsa04024	--gt	P
FSHB	ADORA2A	hsa04024	--gt	P
FSHB	GPR119	hsa04024	--gt	P
FSHB	ADRB1	hsa04024	--gt	P
FSHB	DRD1	hsa04024	--gt	P
FSHB	DRD5	hsa04024	--gt	P
FSHB	FSHR	hsa04024	--gt	P
FSHB	GIPR	hsa04024	--gt	P
FSHB	GLP1R	hsa04024	--gt	P
FSHB	HTR4	hsa04024	--gt	P
FSHB	HTR6	hsa04024	--gt	P
FSHB	LHCGR	hsa04024	--gt	P
FSHB	MC2R	hsa04024	--gt	P
FSHB	NPR1	hsa04024	--gt	P
FSHB	PTGER2	hsa04024	--gt	P
FSHB	TSHR	hsa04024	--gt	P
FSHB	VIPR2	hsa04024	--gt	P
NPY	CHRM1	hsa04024	--gt	P
NPY	CHRM2	hsa04024	--gt	P
NPY	ADORA1	hsa04024	--gt	P
NPY	ADRB2	hsa04024	--gt	P
NPY	DRD2	hsa04024	--gt	P
NPY	EDNRA	hsa04024	--gt	P
NPY	GABBR1	hsa04024	--gt	P
NPY	GHSR	hsa04024	--gt	P
NPY	HCAR1	hsa04024	--gt	P
NPY	FFAR2	hsa04024	--gt	P
NPY	HTR1A	hsa04024	--gt	P
NPY	HTR1B	hsa04024	--gt	P
NPY	HTR1D	hsa04024	--gt	P
NPY	HTR1E	hsa04024	--gt	P
NPY	HTR1F	hsa04024	--gt	P
NPY	HCAR2	hsa04024	--gt	P
NPY	NPY1R	hsa04024	--gt	P
NPY	OXTR	hsa04024	--gt	P
NPY	SUCNR1	hsa04024	--gt	P
NPY	PTGER3	hsa04024	--gt	P
