gene1	gene2	pathway	interaction	type
62	GHRL	ADORA1	hsa04024	--gt	P
63	GHRL	ADRB2	hsa04024	--gt	P
66	GHRL	GABBR1	hsa04024	--gt	P
68	GHRL	HCAR1	hsa04024	--gt	P
69	GHRL	FFAR2	hsa04024	--gt	P
74	GHRL	HTR1F	hsa04024	--gt	P
75	GHRL	HCAR2	hsa04024	--gt	P
77	GHRL	OXTR	hsa04024	--gt	P
78	GHRL	SUCNR1	hsa04024	--gt	P
79	GHRL	PTGER3	hsa04024	--gt	P
81	GHRL	SSTR2	hsa04024	--gt	P
83	GHRL	HCAR3	hsa04024	--gt	P
84	GHRL	GABBR2	hsa04024	--gt	P
86	ADORA2A	GNAS	hsa04024	--gt	P
88	ADRB1	GNAS	hsa04024	--gt	P
92	GIPR	GNAS	hsa04024	--gt	P
93	GLP1R	GNAS	hsa04024	--gt	P
95	HTR6	GNAS	hsa04024	--gt	P
99	PTGER2	GNAS	hsa04024	--gt	P
100	TSHR	GNAS	hsa04024	--gt	P
101	VIPR2	GNAS	hsa04024	--gt	P
102	GNAS	ADCY1	hsa04024	--gt	P
103	GNAS	ADCY2	hsa04024	--gt	P
104	GNAS	ADCY3	hsa04024	--gt	P
106	GNAS	ADCY6	hsa04024	--gt	P
107	GNAS	ADCY7	hsa04024	--gt	P
109	GNAS	ADCY9	hsa04024	--gt	P
110	GNAS	ADCY4	hsa04024	--gt	P
117	ADORA1	GNAI1	hsa04024	--gt	P
118	ADORA1	GNAI2	hsa04024	--gt	P
119	ADORA1	GNAI3	hsa04024	--gt	P
120	ADRB2	GNAI1	hsa04024	--gt	P
121	ADRB2	GNAI2	hsa04024	--gt	P
122	ADRB2	GNAI3	hsa04024	--gt	P
129	GABBR1	GNAI1	hsa04024	--gt	P
130	GABBR1	GNAI2	hsa04024	--gt	P
131	GABBR1	GNAI3	hsa04024	--gt	P
135	HCAR1	GNAI1	hsa04024	--gt	P
136	HCAR1	GNAI2	hsa04024	--gt	P
137	HCAR1	GNAI3	hsa04024	--gt	P
138	FFAR2	GNAI1	hsa04024	--gt	P
139	FFAR2	GNAI2	hsa04024	--gt	P
140	FFAR2	GNAI3	hsa04024	--gt	P
153	HTR1F	GNAI1	hsa04024	--gt	P
154	HTR1F	GNAI2	hsa04024	--gt	P
155	HTR1F	GNAI3	hsa04024	--gt	P
156	HCAR2	GNAI1	hsa04024	--gt	P
157	HCAR2	GNAI2	hsa04024	--gt	P
158	HCAR2	GNAI3	hsa04024	--gt	P
162	OXTR	GNAI1	hsa04024	--gt	P
163	OXTR	GNAI2	hsa04024	--gt	P
164	OXTR	GNAI3	hsa04024	--gt	P
165	SUCNR1	GNAI1	hsa04024	--gt	P
166	SUCNR1	GNAI2	hsa04024	--gt	P
167	SUCNR1	GNAI3	hsa04024	--gt	P
168	PTGER3	GNAI1	hsa04024	--gt	P
169	PTGER3	GNAI2	hsa04024	--gt	P
170	PTGER3	GNAI3	hsa04024	--gt	P
174	SSTR2	GNAI1	hsa04024	--gt	P
175	SSTR2	GNAI2	hsa04024	--gt	P
176	SSTR2	GNAI3	hsa04024	--gt	P
180	HCAR3	GNAI1	hsa04024	--gt	P
181	HCAR3	GNAI2	hsa04024	--gt	P
182	HCAR3	GNAI3	hsa04024	--gt	P
183	GABBR2	GNAI1	hsa04024	--gt	P
184	GABBR2	GNAI2	hsa04024	--gt	P
185	GABBR2	GNAI3	hsa04024	--gt	P
186	RAPGEF3	RRAS2	hsa04024	--gt	P
187	RAPGEF3	RRAS	hsa04024	--gt	P
188	RAPGEF4	RRAS2	hsa04024	--gt	P
189	RAPGEF4	RRAS	hsa04024	--gt	P
190	RRAS2	PLD1	hsa04024	--gt	P
191	RRAS2	PLD2	hsa04024	--gt	P
192	RRAS	PLD1	hsa04024	--gt	P
193	RRAS	PLD2	hsa04024	--gt	P
194	RRAS2	PLCE1	hsa04024	--gt	P
195	RRAS	PLCE1	hsa04024	--gt	P
196	RAPGEF3	MAPK8	hsa04024	--gt	P
197	RAPGEF3	MAPK9	hsa04024	--gt	P
198	RAPGEF3	MAPK10	hsa04024	--gt	P
199	RAPGEF4	MAPK8	hsa04024	--gt	P
200	RAPGEF4	MAPK9	hsa04024	--gt	P
201	RAPGEF4	MAPK10	hsa04024	--gt	P
202	RAPGEF3	RAP1A	hsa04024	--gt	P
203	RAPGEF3	RAP1B	hsa04024	--gt	P
204	RAPGEF4	RAP1A	hsa04024	--gt	P
205	RAPGEF4	RAP1B	hsa04024	--gt	P
206	RAP1A	PLCE1	hsa04024	--gt	P
207	RAP1B	PLCE1	hsa04024	--gt	P
208	RAP1A	TIAM1	hsa04024	--gt	P
209	RAP1B	TIAM1	hsa04024	--gt	P
210	RAP1A	VAV3	hsa04024	--gt	P
211	RAP1A	VAV1	hsa04024	--gt	P
212	RAP1A	VAV2	hsa04024	--gt	P
213	RAP1B	VAV3	hsa04024	--gt	P
214	RAP1B	VAV1	hsa04024	--gt	P
215	RAP1B	VAV2	hsa04024	--gt	P
216	TIAM1	RAC1	hsa04024	--gt	P
217	TIAM1	RAC2	hsa04024	--gt	P
218	TIAM1	RAC3	hsa04024	--gt	P
219	VAV3	RAC1	hsa04024	--gt	P
220	VAV3	RAC2	hsa04024	--gt	P
221	VAV3	RAC3	hsa04024	--gt	P
222	VAV1	RAC1	hsa04024	--gt	P
223	VAV1	RAC2	hsa04024	--gt	P
224	VAV1	RAC3	hsa04024	--gt	P
225	VAV2	RAC1	hsa04024	--gt	P
226	VAV2	RAC2	hsa04024	--gt	P
227	VAV2	RAC3	hsa04024	--gt	P
228	RAC1	PAK1	hsa04024	--gt	P
229	RAC2	PAK1	hsa04024	--gt	P
230	RAC3	PAK1	hsa04024	--gt	P
231	RAP1A	ARAP3	hsa04024	--gt	P
232	RAP1B	ARAP3	hsa04024	--gt	P
235	RAP1A	PIK3CA	hsa04024	--gt	P
236	RAP1A	PIK3CB	hsa04024	--gt	P
237	RAP1A	PIK3CD	hsa04024	--gt	P
238	RAP1A	PIK3R1	hsa04024	--gt	P
239	RAP1A	PIK3R2	hsa04024	--gt	P
240	RAP1A	PIK3R3	hsa04024	--gt	P
241	RAP1B	PIK3CA	hsa04024	--gt	P
242	RAP1B	PIK3CB	hsa04024	--gt	P
243	RAP1B	PIK3CD	hsa04024	--gt	P
244	RAP1B	PIK3R1	hsa04024	--gt	P
245	RAP1B	PIK3R2	hsa04024	--gt	P
