gene1	gene2	pathway	interaction
CGA	ADCYAP1R1	hsa04024	--gt
CGA	ADORA2A	hsa04024	--gt
CGA	GPR119	hsa04024	--gt
CGA	ADRB1	hsa04024	--gt
CGA	DRD1	hsa04024	--gt
CGA	DRD5	hsa04024	--gt
CGA	FSHR	hsa04024	--gt
CGA	GIPR	hsa04024	--gt
CGA	GLP1R	hsa04024	--gt
CGA	HTR4	hsa04024	--gt
CGA	HTR6	hsa04024	--gt
CGA	LHCGR	hsa04024	--gt
CGA	MC2R	hsa04024	--gt
CGA	NPR1	hsa04024	--gt
CGA	PTGER2	hsa04024	--gt
CGA	TSHR	hsa04024	--gt
CGA	VIPR2	hsa04024	--gt
FSHB	ADCYAP1R1	hsa04024	--gt
FSHB	ADORA2A	hsa04024	--gt
FSHB	GPR119	hsa04024	--gt
FSHB	ADRB1	hsa04024	--gt
FSHB	DRD1	hsa04024	--gt
FSHB	DRD5	hsa04024	--gt
FSHB	FSHR	hsa04024	--gt
FSHB	GIPR	hsa04024	--gt
FSHB	GLP1R	hsa04024	--gt
FSHB	HTR4	hsa04024	--gt
FSHB	HTR6	hsa04024	--gt
FSHB	LHCGR	hsa04024	--gt
FSHB	MC2R	hsa04024	--gt
FSHB	NPR1	hsa04024	--gt
FSHB	PTGER2	hsa04024	--gt
FSHB	TSHR	hsa04024	--gt
FSHB	VIPR2	hsa04024	--gt
NPY	CHRM1	hsa04024	--gt
NPY	CHRM2	hsa04024	--gt
NPY	ADORA1	hsa04024	--gt
NPY	ADRB2	hsa04024	--gt
NPY	DRD2	hsa04024	--gt
NPY	EDNRA	hsa04024	--gt
NPY	GABBR1	hsa04024	--gt
NPY	GHSR	hsa04024	--gt
NPY	HCAR1	hsa04024	--gt
NPY	FFAR2	hsa04024	--gt
NPY	HTR1A	hsa04024	--gt
NPY	HTR1B	hsa04024	--gt
NPY	HTR1D	hsa04024	--gt
NPY	HTR1E	hsa04024	--gt
NPY	HTR1F	hsa04024	--gt
NPY	HCAR2	hsa04024	--gt
NPY	NPY1R	hsa04024	--gt
NPY	OXTR	hsa04024	--gt
NPY	SUCNR1	hsa04024	--gt
NPY	PTGER3	hsa04024	--gt
NPY	SSTR1	hsa04024	--gt
NPY	SSTR2	hsa04024	--gt
NPY	SSTR5	hsa04024	--gt
NPY	HCAR3	hsa04024	--gt
NPY	GABBR2	hsa04024	--gt
GHRL	CHRM1	hsa04024	--gt
GHRL	CHRM2	hsa04024	--gt
GHRL	ADORA1	hsa04024	--gt
GHRL	ADRB2	hsa04024	--gt
GHRL	DRD2	hsa04024	--gt
GHRL	EDNRA	hsa04024	--gt
GHRL	GABBR1	hsa04024	--gt
GHRL	GHSR	hsa04024	--gt
GHRL	HCAR1	hsa04024	--gt
GHRL	FFAR2	hsa04024	--gt
GHRL	HTR1A	hsa04024	--gt
GHRL	HTR1B	hsa04024	--gt
GHRL	HTR1D	hsa04024	--gt
GHRL	HTR1E	hsa04024	--gt
GHRL	HTR1F	hsa04024	--gt
GHRL	HCAR2	hsa04024	--gt
GHRL	NPY1R	hsa04024	--gt
GHRL	OXTR	hsa04024	--gt
GHRL	SUCNR1	hsa04024	--gt
GHRL	PTGER3	hsa04024	--gt
GHRL	SSTR1	hsa04024	--gt
GHRL	SSTR2	hsa04024	--gt
GHRL	SSTR5	hsa04024	--gt
GHRL	HCAR3	hsa04024	--gt
GHRL	GABBR2	hsa04024	--gt
ADCYAP1R1	GNAS	hsa04024	--gt
ADORA2A	GNAS	hsa04024	--gt
GPR119	GNAS	hsa04024	--gt
ADRB1	GNAS	hsa04024	--gt
DRD1	GNAS	hsa04024	--gt
DRD5	GNAS	hsa04024	--gt
FSHR	GNAS	hsa04024	--gt
GIPR	GNAS	hsa04024	--gt
GLP1R	GNAS	hsa04024	--gt
HTR4	GNAS	hsa04024	--gt
HTR6	GNAS	hsa04024	--gt
LHCGR	GNAS	hsa04024	--gt
MC2R	GNAS	hsa04024	--gt
NPR1	GNAS	hsa04024	--gt
PTGER2	GNAS	hsa04024	--gt
TSHR	GNAS	hsa04024	--gt
VIPR2	GNAS	hsa04024	--gt
GNAS	ADCY1	hsa04024	--gt
GNAS	ADCY2	hsa04024	--gt
GNAS	ADCY3	hsa04024	--gt
GNAS	ADCY5	hsa04024	--gt
GNAS	ADCY6	hsa04024	--gt
GNAS	ADCY7	hsa04024	--gt
GNAS	ADCY8	hsa04024	--gt
GNAS	ADCY9	hsa04024	--gt
GNAS	ADCY4	hsa04024	--gt
CHRM1	GNAI1	hsa04024	--gt
CHRM1	GNAI2	hsa04024	--gt
CHRM1	GNAI3	hsa04024	--gt
CHRM2	GNAI1	hsa04024	--gt
CHRM2	GNAI2	hsa04024	--gt
CHRM2	GNAI3	hsa04024	--gt
ADORA1	GNAI1	hsa04024	--gt
ADORA1	GNAI2	hsa04024	--gt
ADORA1	GNAI3	hsa04024	--gt
ADRB2	GNAI1	hsa04024	--gt
ADRB2	GNAI2	hsa04024	--gt
ADRB2	GNAI3	hsa04024	--gt
DRD2	GNAI1	hsa04024	--gt
DRD2	GNAI2	hsa04024	--gt
DRD2	GNAI3	hsa04024	--gt
EDNRA	GNAI1	hsa04024	--gt
EDNRA	GNAI2	hsa04024	--gt
EDNRA	GNAI3	hsa04024	--gt
GABBR1	GNAI1	hsa04024	--gt
GABBR1	GNAI2	hsa04024	--gt
GABBR1	GNAI3	hsa04024	--gt
GHSR	GNAI1	hsa04024	--gt
GHSR	GNAI2	hsa04024	--gt
GHSR	GNAI3	hsa04024	--gt
HCAR1	GNAI1	hsa04024	--gt
HCAR1	GNAI2	hsa04024	--gt
HCAR1	GNAI3	hsa04024	--gt
FFAR2	GNAI1	hsa04024	--gt
FFAR2	GNAI2	hsa04024	--gt
FFAR2	GNAI3	hsa04024	--gt
HTR1A	GNAI1	hsa04024	--gt
HTR1A	GNAI2	hsa04024	--gt
HTR1A	GNAI3	hsa04024	--gt
HTR1B	GNAI1	hsa04024	--gt
HTR1B	GNAI2	hsa04024	--gt
HTR1B	GNAI3	hsa04024	--gt
HTR1D	GNAI1	hsa04024	--gt
HTR1D	GNAI2	hsa04024	--gt
HTR1D	GNAI3	hsa04024	--gt
