clu.num.inp	clu.num.out	<=5.num	final.clu.num
10	10	0	10
20	20	5	15
30	30	2	30
40	40	6	36
50	50	15	37
60	60	26	36
70	70	37	35
80	80	50	32
90	90	62	31
100	100	73	30
110	110	22	92
120	120	24	100
130	130	27	108
140	140	29	116
150	150	34	122
160	160	40	127
170	170	48	132
180	180	54	137
190	190	64	142
200	200	69	148
210	210	79	147
220	220	85	153
230	230	93	157
240	240	97	162
250	250	106	164
260	260	115	167
270	270	122	172
280	280	133	173
290	290	147	171
300	300	159	168
310	310	167	170
320	320	177	170
330	330	186	170
340	340	197	170
350	350	210	169
360	360	220	170
370	370	231	171
380	380	243	171
390	390	257	168
400	400	269	167
410	410	282	166
420	420	294	165
430	430	307	164
440	440	319	162
450	450	332	158
460	460	343	156
470	470	356	154
480	480	369	151
490	490	382	148
500	500	394	146
510	510	405	145
520	520	418	141
530	530	432	135
540	540	444	134
550	550	458	130
560	560	469	129
570	570	482	127
580	580	494	123
590	590	507	121
600	600	517	120
610	610	529	118
620	620	540	115
630	630	551	114
640	640	562	111
650	650	571	111
660	660	581	111
670	670	592	109
680	680	602	108
690	690	612	108
700	700	622	107
710	710	632	105
720	720	643	105
730	730	653	105
740	740	663	105
750	750	679	125
760	760	690	123
770	770	702	120
780	780	714	119
790	790	724	118
800	800	737	113
